"大学名","本部所在地","都道府県","市区町村","設立年","種別"
"筑波技術大学","茨城県つくば市天久保4-3-15 ","茨城県","つくば市",1987,"国立・大学"
"筑波大学","茨城県つくば市 ","茨城県","つくば市",1973,"国立・大学"
"敦賀市立看護大学","福井県敦賀市木崎78‐2-1 ","福井県","敦賀市",2014,"公立・大学"
"都留文科大学","山梨県都留市 ","山梨県","都留市",1955,"公立・大学"
"電気通信大学","東京都調布市 ","東京都","調布市",1949,"国立・大学"
"東京医科歯科大学","東京都文京区 ","東京都","文京区",1951,"国立・大学"
"東京海洋大学","東京都港区 ","東京都","港区",2003,"国立・大学"
"東京外国語大学","東京都府中市朝日町3-11-1 ","東京都","府中市",1949,"国立・大学"
"東京学芸大学","東京都小金井市貫井北町4-1-1 ","東京都","小金井市",1949,"国立・大学"
"東京芸術大学","東京都台東区上野公園12-8 ","東京都","台東区",1949,"国立・大学"
"東京工業大学","東京都目黒区大岡山2-12-1 ","東京都","目黒区",1929,"国立・大学"
"東京大学","東京都文京区本郷7-3-1 ","東京都","文京区",1949,"国立・大学"
"東京都立産業技術大学院大学","東京都品川区東大井1-10-40 ","東京都","品川区",2006,"公立・大学"
"東京農工大学","東京都府中市晴見町3-8-1 ","東京都","府中市",1949,"国立・大学"
"東北大学","宮城県仙台市青葉区片平二丁目1-1 ","宮城県","仙台市青葉区",1949,"国立・大学"
"徳島大学","徳島県徳島市新蔵町2-24 ","徳島県","徳島市",1949,"国立・大学"
"鳥取大学","鳥取県鳥取市湖山町南4丁目101 ","鳥取県","鳥取市",1949,"国立・大学"
"富山県立大学","富山県射水市黒河5180 ","富山県","射水市",1989,"公立・大学"
"富山大学","富山県富山市五福3190 ","富山県","富山市",2005,"国立・大学"
"豊橋技術科学大学","愛知県豊橋市天伯町雲雀ヶ丘1-1 ","愛知県","豊橋市",1976,"国立・大学"
"長岡技術科学大学","新潟県長岡市 ","新潟県","長岡市",1976,"国立・大学"
"長岡造形大学","新潟県長岡市千秋4丁目197番地 ","新潟県","長岡市",1993,"公立・大学"
"長崎県立大学","長崎県佐世保市川下町123 ","長崎県","佐世保市",2008,"公立・大学"
"長崎大学","長崎県長崎市文教町1-14 ","長崎県","長崎市",1949,"国立・大学"
"長野県看護大学","長野県駒ヶ根市赤穂1694番地 ","長野県","駒ヶ根市",1994,"公立・大学"
"長野県立大学","長野県長野市三輪8-49-7 ","長野県","長野市",2018,"公立・大学"
"長野大学","長野県上田市下之郷658-1 ","長野県","上田市",1966,"公立・大学"
"名古屋工業大学","愛知県名古屋市昭和区御器所町 ","愛知県","名古屋市昭和区",1949,"国立・大学"
"名古屋大学","愛知県名古屋市千種区不老町 ","愛知県","名古屋市千種区",1939,"国立・大学"
"名寄市立大学","北海道名寄市西4条北8丁目1番地 ","北海道","名寄市",2006,"公立・大学"
"奈良教育大学","奈良県奈良市高畑町 ","奈良県","奈良市",1949,"国立・大学"
"奈良県立医科大学","奈良県橿原市 ","奈良県","橿原市",1945,"公立・大学"
"奈良県立大学","奈良県奈良市船橋町10番地 ","奈良県","奈良市",1990,"公立・大学"
"奈良女子大学","奈良県奈良市 ","奈良県","奈良市",1949,"国立・大学"
"奈良先端科学技術大学院大学","奈良県生駒市高山町8916番地の5 ","奈良県","生駒市",1991,"国立・大学"
"鳴門教育大学","徳島県鳴門市鳴門町高島字中島748番地 ","徳島県","鳴門市",1981,"国立・大学"
"新潟県立看護大学","新潟県上越市 ","新潟県","上越市",2001,"公立・大学"
"新潟県立大学","新潟県新潟市東区海老ケ瀬471番地 ","新潟県","新潟市東区",2009,"公立・大学"
"新潟大学","新潟県新潟市西区五十嵐2の町8050番地 ","新潟県","新潟市西区",1949,"国立・大学"
"新見公立大学","岡山県新見市 ","岡山県","新見市",2010,"公立・大学"
"浜松医科大学","静岡県浜松市東区半田山1丁目20番1号 ","静岡県","浜松市東区",1974,"国立・大学"
"一橋大学","東京都国立市中 ","東京都","国立市",1949,"国立・大学"
"兵庫教育大学","兵庫県加東市下久米942-1 ","兵庫県","加東市",1978,"国立・大学"
"兵庫県立大学","兵庫県神戸市西区学園西町8-2-1 ","兵庫県","神戸市西区",2004,"公立・大学"
"弘前大学","青森県弘前市文京町1 ","青森県","弘前市",1949,"国立・大学"
"広島市立大学","広島県広島市安佐南区大塚東三丁目4番1号 ","広島県","広島市安佐南区",1994,"公立・大学"
"広島大学","広島県東広島市 ","広島県","東広島市",1949,"国立・大学"
"福井大学","福井県福井市 ","福井県","福井市",2004,"国立・大学"
"福岡教育大学","福岡県宗像市赤間文教町1番1号 ","福岡県","宗像市",1949,"国立・大学"
"福岡県立大学","福岡県田川市伊田4395番地 ","福岡県","田川市",1992,"公立・大学"
"福岡女子大学","福岡県福岡市東区香住ヶ丘1-1-1 ","福岡県","福岡市東区",1950,"公立・大学"
"福島県立医科大学","福島県福島市光が丘1番地 ","福島県","福島市",1952,"公立・大学"
"福島大学","福島県福島市金谷川1番地 ","福島県","福島市",1949,"国立・大学"
"福知山公立大学","京都府福知山市 ","京都府","福知山市",2016,"公立・大学"
"福山市立大学","広島県福山市港町二丁目19番1号 ","広島県","福山市",2011,"公立・大学"
"北陸先端科学技術大学院大学","石川県能美市旭台1-1 ","石川県","能美市",1990,"国立・大学"
"北海道教育大学","北海道札幌市 ","北海道","札幌市",1949,"国立・大学"
"北海道大学","北海道札幌市北区北8条西5丁目 ","北海道","札幌市北区",1949,"国立・大学"
"前橋工科大学","群馬県前橋市上佐鳥町460番地1 ","群馬県","前橋市",1996,"公立・大学"
"三重県立看護大学","三重県津市夢が丘1丁目1番地1 ","三重県","津市",1997,"公立・大学"
"三重短期大学","三重県津市 ","三重県","津市",1952,"公立・短期大学"
"三重大学","三重県津市栗真町屋町1577 ","三重県","津市",1949,"国立・大学"
"宮城教育大学","宮城県仙台市青葉区荒巻字青葉149番地 ","宮城県","仙台市青葉区",1965,"国立・大学"
"宮城大学","宮城県黒川郡大和町 ","宮城県","黒川郡大和町",1996,"公立・大学"
"宮崎県立看護大学","宮崎県宮崎市まなび野3丁目5番地1 ","宮崎県","宮崎市",1997,"公立・大学"
"宮崎公立大学","宮崎県宮崎市船塚1丁目1番地2 ","宮崎県","宮崎市",1992,"公立・大学"
"宮崎大学","宮崎県宮崎市学園木花台西1丁目1番地 ","宮崎県","宮崎市",1949,"国立・大学"
"室蘭工業大学","北海道室蘭市水元町27番1号 ","北海道","室蘭市",1949,"国立・大学"
"名桜大学","沖縄県名護市字為又1220-1 ","沖縄県","名護市",1993,"公立・大学"
"山形県立保健医療大学","山形県山形市上柳260 ","山形県","山形市",2000,"公立・大学"
"山形県立米沢栄養大学","山形県米沢市通町6丁目15番1号 ","山形県","米沢市",2013,"公立・大学"
"山形県立米沢女子短期大学","山形県米沢市通町6丁目15番1号 ","山形県","米沢市",1951,"公立・短期大学"
"山形大学","山形県山形市小白川町一丁目4-12 ","山形県","山形市",1949,"国立・大学"
"山口県立大学","山口県山口市桜畠3-2-1 ","山口県","山口市",2006,"公立・大学"
"山口大学","山口県山口県山口市吉田1677-1 ","山口県","山口県山口市",1949,"国立・大学"
"山梨県立大学","山梨県甲府市 ","山梨県","甲府市",2004,"公立・大学"
"山梨大学","山梨県甲府市武田4-4-37 ","山梨県","甲府市",2002,"国立・大学"
"横浜国立大学","神奈川県横浜市保土ケ谷区 ","神奈川県","横浜市保土ケ谷区",1949,"国立・大学"
"琉球大学","沖縄県中頭郡西原町字千原1番地 ","沖縄県","中頭郡西原町",1972,"国立・大学"
"和歌山県立医科大学","和歌山県和歌山市紀三井寺811-1 ","和歌山県","和歌山市",1952,"公立・大学"
"和歌山大学","和歌山県和歌山市栄谷930 ","和歌山県","和歌山市",1949,"国立・大学"
"愛国学園短期大学","東京都江戸川区西小岩5-7-1","東京都","江戸川区",1962,"私立・短期大学"
"愛国学園大学","千葉県四街道市四街道1532","千葉県","四街道市",1997,"私立・大学"
"愛知医科大学","愛知県長久手市岩作雁又1番地1","愛知県","長久手市",1971,"私立・大学"
"愛知医療学院短期大学","愛知県清須市一場神明前519番地","愛知県","清須市",2007,"私立・短期大学"
"愛知学院大学","愛知県日進市岩崎町阿良池12","愛知県","日進市",1953,"私立・大学"
"愛知学院大学短期大学部","愛知県名古屋市千種区楠元町1-100","愛知県","名古屋市千種区",1950,"私立・短期大学"
"愛知学泉短期大学","愛知県岡崎市舳越町字上川成28","愛知県","岡崎市",1950,"私立・短期大学"
"愛知学泉大学","愛知県岡崎市舳越町字上川成28","愛知県","岡崎市",1966,"私立・大学"
"愛知工科大学","愛知県蒲郡市西迫町馬乗50-2","愛知県","蒲郡市",1999,"私立・大学"
"愛知工科大学自動車短期大学","愛知県蒲郡市西迫町馬乗50-2","愛知県","蒲郡市",1986,"私立・短期大学"
"愛知工業大学","愛知県豊田市八草町八千草1247","愛知県","豊田市",1959,"私立・大学"
"愛知産業大学","愛知県岡崎市岡町字原山12番地5","愛知県","岡崎市",1991,"私立・大学"
"愛知産業大学短期大学","愛知県岡崎市岡町字原山12番地5","愛知県","岡崎市",1985,"私立・短期大学"
"愛知淑徳大学","愛知県長久手市片平二丁目9","愛知県","長久手市",1975,"私立・大学"
"愛知大学","愛知県豊橋市町畑町字町畑1-1","愛知県","豊橋市",1949,"私立・大学"
"愛知大学短期大学部","愛知県豊橋市町畑町字町畑1-1","愛知県","豊橋市",1950,"私立・短期大学"
"愛知東邦大学","愛知県名古屋市名東区平和が丘3-11","愛知県","名古屋市名東区",2000,"私立・大学"
